job_title,job_detail_url,job_listed,company_name,company_link,company_location
Clinical Data Analyst,https://www.linkedin.com/jobs/view/clinical-data-analyst-at-ampcus-inc-3971724710?position=4&pageNum=15&refId=8skHC4H5HF7YlAdfxM6NgA%3D%3D&trackingId=DPWwCa%2Fbbqd6%2BVFnQUvkqQ%3D%3D&trk=public_jobs_jserp-result_search-card,19 hours ago,Ampcus Inc,https://www.linkedin.com/company/ampcus-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Titusville, NJ"
Data Scientist Administrator (Scientific Review Officer),https://www.linkedin.com/jobs/view/data-scientist-administrator-scientific-review-officer-at-usajobs-3973740514?position=5&pageNum=15&refId=8skHC4H5HF7YlAdfxM6NgA%3D%3D&trackingId=jUpziS%2FtQK3VqMNq2DXX6g%3D%3D&trk=public_jobs_jserp-result_search-card,20 hours ago,USAJOBS,https://www.linkedin.com/company/usajobs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Montgomery County, MD"
Travel Data Entry - Entry Level,https://www.linkedin.com/jobs/view/travel-data-entry-entry-level-at-globetrek-consulting-3975439165?position=6&pageNum=15&refId=8skHC4H5HF7YlAdfxM6NgA%3D%3D&trackingId=2DxiH1%2Fj4lvzFmn%2FhiTRmw%3D%3D&trk=public_jobs_jserp-result_search-card,18 hours ago,GlobeTrek Consulting,https://www.linkedin.com/company/globetrek-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Satistician (Data Scientist),https://www.linkedin.com/jobs/view/satistician-data-scientist-at-u-s-department-of-the-treasury-3975526222?position=7&pageNum=15&refId=8skHC4H5HF7YlAdfxM6NgA%3D%3D&trackingId=Mbm4I7aZ67I0TGjxm8Ph8A%3D%3D&trk=public_jobs_jserp-result_search-card,11 hours ago,U.S. Department of the Treasury,https://www.linkedin.com/company/us-treasury?trk=public_jobs_jserp-result_job-search-card-subtitle,"Evansville, IN"
Satistician (Data Scientist),https://www.linkedin.com/jobs/view/satistician-data-scientist-at-u-s-department-of-the-treasury-3975523633?position=8&pageNum=15&refId=8skHC4H5HF7YlAdfxM6NgA%3D%3D&trackingId=mMFKzId%2Btt0oQ9CsKBuDDg%3D%3D&trk=public_jobs_jserp-result_search-card,11 hours ago,U.S. Department of the Treasury,https://www.linkedin.com/company/us-treasury?trk=public_jobs_jserp-result_job-search-card-subtitle,"Orlando, FL"
Data Entry Clerk Admin (Remote) Work From Home,https://www.linkedin.com/jobs/view/data-entry-clerk-admin-remote-work-from-home-at-zar-it-solutions-3972123176?position=9&pageNum=15&refId=8skHC4H5HF7YlAdfxM6NgA%3D%3D&trackingId=31nYqu%2FA6jh9EBUZDwd56A%3D%3D&trk=public_jobs_jserp-result_search-card,2 hours ago,ZAR IT Solutions,https://www.linkedin.com/company/zar-it-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA"
Satistician (Data Scientist),https://www.linkedin.com/jobs/view/satistician-data-scientist-at-u-s-department-of-the-treasury-3975524629?position=10&pageNum=15&refId=8skHC4H5HF7YlAdfxM6NgA%3D%3D&trackingId=EwBgRn77bPTh87wCJAsbTQ%3D%3D&trk=public_jobs_jserp-result_search-card,11 hours ago,U.S. Department of the Treasury,https://www.linkedin.com/company/us-treasury?trk=public_jobs_jserp-result_job-search-card-subtitle,"Carpinteria, CA"
Data Entry,https://www.linkedin.com/jobs/view/data-entry-at-apn-software-services-inc-3971740757?position=1&pageNum=17&refId=mSNcfo36qH8%2FnnKUO%2FPPdQ%3D%3D&trackingId=Skn838PdB2OaGXRNT65uYA%3D%3D&trk=public_jobs_jserp-result_search-card,13 hours ago,"APN Software Services, Inc.",https://www.linkedin.com/company/apn-software-services-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Charleston, WV"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-robert-half-3975484802?position=2&pageNum=17&refId=mSNcfo36qH8%2FnnKUO%2FPPdQ%3D%3D&trackingId=wLzn%2B%2Bfq%2Bl58F9ZWLVtYOQ%3D%3D&trk=public_jobs_jserp-result_search-card,15 hours ago,Robert Half,https://www.linkedin.com/company/robert-half-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Nashville, TN"
Satistician (Data Scientist),https://www.linkedin.com/jobs/view/satistician-data-scientist-at-u-s-department-of-the-treasury-3975525298?position=3&pageNum=17&refId=mSNcfo36qH8%2FnnKUO%2FPPdQ%3D%3D&trackingId=HwGfZ1fBR0UoMJ4AZpVxxg%3D%3D&trk=public_jobs_jserp-result_search-card,11 hours ago,U.S. Department of the Treasury,https://www.linkedin.com/company/us-treasury?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Cruces, NM"
